                        Quantachrome® ASiQwin™- Automated Gas Sorption Data
                                     Acquisition and Reduction
                               © 1994-2013, Quantachrome Instruments
                                            version 3.01

Analysis                                          Report
Operator:      service        Date:9/17/2017      Operator: Ankita              Date:2020/04/14
Sample ID:     DSE-075-1           Filename:      DSE-075-1.QPS
Sample Desc:   actifromDMF         Comment:       actifromDMF
Sample weight: 0.0285 g
Analysis Time: 1098.6 min          End of run:    9/17/2017 11:16:39  Instrument:    QuadraSorb Station 2
Void Vol.:     He Mode.Cell: 9mm large bulbRun modeStandard           Instrument version:5.04
Thermal delay: 120 sec             He evac time:  0 min
Outgas Time:   8.0 hrs             OutgasTemp:    25.0 C
Analysis gas:  Nitrogen            Bath Temp:     77.3 K
Press. Tolerance:variable/variable (ads/des)Equil time:variable/variable sec (ads/des)Equil timeout:variable/variable sec (ads/des)

      Press            P0         Volume @ STP         Tol           TimeOut      EquLibration
                                                                                         
      Torr            Torr             cc                              sec               

       1.26          758.25            0.8673          0.10          240             120
       1.55          758.25            0.8971          0.10          240             120
       3.06          758.25            0.9750          0.10          240             120
       3.78          758.25            0.9951          0.10          240             120
       4.64          758.25            1.0161          0.10          240             120
       6.64          758.25            1.0474          0.10          240             120
       8.76          758.25            1.0715          0.10          240             120
      11.62          758.25            1.0948          0.10          240             120
      14.92          758.25            1.1145          0.10          240             120
      20.14          758.25            1.1383          0.10          240             120
      32.23          758.25            1.1753          0.10          240             120
      41.29          758.25            1.1966          0.10          240             120
      50.04          758.25            1.2141          0.10          240             120
      62.47          758.25            1.2345          0.10          240             120
      65.98          758.25            1.2402          0.10          240             120
      74.56          758.25            1.2519          0.10          240             120
      82.06          758.25            1.2649          0.05          600             240
     118.56          758.25            1.4337          0.05          600             240
     149.35          758.25            3.4791          0.05          600             240
     188.56          758.25            8.6617          0.05          600             240
     226.09          758.25           11.6159          0.05          600             240
     263.98          758.25           13.2446          0.05          600             240
     300.35          758.25           14.0729          0.05          600             240
     339.07          758.25           14.7365          0.05          600             240
     375.97          758.25           15.2889          0.05          600             240
     413.91          758.25           15.5768          0.05          600             240
     452.62          758.25           15.9094          0.05          600             240
     489.13          758.25           16.0927          0.05          600             240
     529.86          758.25           16.3262          0.05          600             240
     565.37          758.25           16.4653          0.05          600             240
     603.19          758.25           16.6165          0.05          600             240
     649.33          758.25           16.7975          0.05          600             240
     685.21          758.25           16.9517          0.05          600             240
     720.93          758.25           17.1511          0.05          600             240
     734.78          758.25           17.3040          0.05          600             240
     697.13          758.25           17.1625          0.05          600             240
     664.68          758.25           17.0895          0.05          600             240
     629.04          758.25           17.0279          0.05          600             240
     595.20          758.25           16.9740          0.05          600             240
     560.03          758.25           16.9240          0.05          600             240
     522.77          758.25           16.8702          0.05          600             240
     485.69          758.25           16.8166          0.05          600             240
     447.88          758.25           16.7606          0.05          600             240
     439.34          758.25           16.7496          0.10          240             120
     405.50          758.25           16.6928          0.05          600             240
     400.87          758.25           16.6874          0.10          240             120
     365.60          758.25           16.5943          0.05          600             240
     347.64          758.25           16.5413          0.10          240             120
     342.94          758.25           16.5303          0.05          600             240
     312.31          758.25           16.4675          0.10          240             120
     287.63          758.25           16.4129          0.05          600             240
     285.51          758.25           16.4074          0.10          240             120
     253.42          758.25           16.3313          0.05          600             240
     232.59          758.25           16.2732          0.10          240             120
     229.71          758.25           16.2662          0.05          600             240
     197.62          758.25           16.1675          0.10          240             120
     190.41          758.25           16.1438          0.05          600             240
     158.68          758.25           16.0238          0.10          240             120
     152.98          758.25           16.0000          0.05          600             240
     120.73          758.25           15.8387          0.10          240             120
     117.33          758.25           15.8161          0.05          600             240
      86.62          758.25           15.6007          0.10          240             120
      78.50          758.25           15.5228          0.05          600             240
      50.11          758.25           15.1786          0.10          240             120
      35.91          758.25           14.8977          0.05          600             240
      19.09          758.25           14.2985          0.10          240             120
       7.73          758.25            2.1246          0.05          600             240
       5.13          758.25            1.6324          0.10          240             120
       3.62          758.25            1.4905          0.10          240             120
       1.43          758.25            1.2511          0.10          240             120
       1.00          758.25            1.1763          0.10          240             120
       1.00          758.25            1.1706          0.10          240             120
       0.98          758.25            1.1662          0.10          240             120
       0.95          758.25            1.1623          0.10          240             120
