                        Quantachrome® ASiQwin™- Automated Gas Sorption Data
                                     Acquisition and Reduction
                               © 1994-2013, Quantachrome Instruments
                                            version 3.01

           *** The data this report is based upon is incomplete (analysis unfinished) ***
Analysis                                          Report
Operator:      service        Date:9/17/2017      Operator: Ankita              Date:2020/04/15
Sample ID:     DSE-075-2           Filename:      DSE-075-2.QPS
Sample Desc:   actifromEtOH        Comment:       activatedfromEtOH
Sample weight: 0.0489 g
Analysis Time: 1139.3 min          End of run:    9/17/2017 11:57:26  Instrument:    QuadraSorb Station 3
Void Vol.:     He Mode.Cell: 9mm large bulbRun modeStandard           Instrument version:5.04
Thermal delay: 120 sec             He evac time:  0 min
Outgas Time:   8.0 hrs             OutgasTemp:    25.0 C
Analysis gas:  Nitrogen            Bath Temp:     77.3 K
Press. Tolerance:variable/variable (ads/des)Equil time:variable/variable sec (ads/des)Equil timeout:variable/variable sec (ads/des)

      Press            P0         Volume @ STP         Tol           TimeOut      EquLibration
                                                                                         
      Torr            Torr             cc                              sec               

       1.73          758.25            0.5576          0.10          240             120
       2.58          758.25            0.5885          0.10          240             120
       3.91          758.25            0.6155          0.10          240             120
       5.47          758.25            0.6353          0.10          240             120
       7.18          758.25            0.6491          0.10          240             120
      10.74          758.25            0.6716          0.10          240             120
      14.31          758.25            0.6861          0.10          240             120
      18.77          758.25            0.6998          0.10          240             120
      23.24          758.25            0.7100          0.10          240             120
      29.46          758.25            0.7229          0.10          240             120
      35.66          758.25            0.7325          0.10          240             120
      51.61          758.25            0.7547          0.10          240             120
      56.82          758.25            0.7591          0.10          240             120
      65.57          758.25            0.7679          0.10          240             120
      69.46          758.25            0.7721          0.10          240             120
      76.46          758.25            0.7783          0.10          240             120
      82.20          758.25            0.7826          0.05          600             240
     115.74          758.25            0.8137          0.05          600             240
     149.91          758.25            2.1607          0.05          600             240
     186.56          758.25            9.3828          0.05          600             240
     225.35          758.25           13.1167          0.05          600             240
     262.33          758.25           14.8124          0.05          600             240
     302.75          758.25           15.9479          0.05          600             240
     346.56          758.25           16.6408          0.05          600             240
     378.78          758.25           16.9939          0.05          600             240
     416.66          758.25           17.2979          0.05          600             240
     456.08          758.25           17.5581          0.05          600             240
     492.11          758.25           17.7838          0.05          600             240
     534.31          758.25           17.9440          0.05          600             240
     568.25          758.25           18.0829          0.05          600             240
     604.71          758.25           18.2182          0.05          600             240
     664.27          758.25           18.4268          0.05          600             240
     686.79          758.25           18.5487          0.05          600             240
     722.14          758.25           18.7584          0.05          600             240
     735.56          758.25           18.9204          0.05          600             240
     692.65          758.25           18.7265          0.05          600             240
     659.51          758.25           18.6494          0.05          600             240
     628.07          758.25           18.5955          0.05          600             240
     591.81          758.25           18.5417          0.05          600             240
     561.16          758.25           18.4956          0.05          600             240
     524.78          758.25           18.4408          0.05          600             240
     489.06          758.25           18.3893          0.05          600             240
     456.31          758.25           18.3394          0.05          600             240
     431.51          758.25           18.2993          0.10          240             120
     411.93          758.25           18.2679          0.05          600             240
     392.96          758.25           18.2382          0.10          240             120
     379.75          758.25           18.2117          0.05          600             240
     361.45          758.25           18.1503          0.10          240             120
     339.17          758.25           18.0876          0.05          600             240
     321.13          758.25           18.0513          0.10          240             120
     300.91          758.25           18.0054          0.05          600             240
     284.67          758.25           17.9677          0.10          240             120
     262.74          758.25           17.9119          0.05          600             240
     246.69          758.25           17.8676          0.10          240             120
     224.07          758.25           17.8007          0.05          600             240
     204.26          758.25           17.7368          0.10          240             120
     184.93          758.25           17.6662          0.05          600             240
     167.03          758.25           17.5933          0.10          240             120
     141.88          758.25           17.4757          0.05          600             240
     127.82          758.25           17.4000          0.10          240             120
     113.35          758.25           17.3049          0.05          600             240
      96.81          758.25           17.1891          0.10          240             120
      78.28          758.25           17.0119          0.05          600             240
      59.59          758.25           16.7933          0.10          240             120
      40.85          758.25           16.4517          0.05          600             240
      18.86          758.25           15.6882          0.10          240             120
       7.84          758.25            1.5185          0.05          600             240
       5.08          758.25            0.8570          0.10          240             120
       3.84          758.25            0.7649          0.10          240             120
    +NAN            +NAN            +NAN               0.10          240             120
    +NAN            +NAN            +NAN               0.10          240             120
    +NAN            +NAN            +NAN               0.10          240             120
    +NAN            +NAN            +NAN               0.10          240             120
    +NAN            +NAN            +NAN               0.10          240             120
